Title,Link,Description
[백브리핑] 화합 담은 &apos;대통령의 선물&apos;에…이재명 대표 &quot;예상치 못했다&quot;,https://n.news.naver.com/mnews/article/437/0000328796?sid=100,"구성을 보면 떡국떡(경북 의성), 곱창김(전남 신안), 황태채(강원 인제), 표고채(충남 청양), 멸치(경남 통영)... [기자] 이게 원가가 4만 원인데 호가가 70만 원까지 올라가면서 경찰이 중고 거래 모니터링에 나서기도 했던... "
로또 1050회 판매·추첨시간 1049회 1등당첨지역 공개,https://www.gukjenews.com/news/articleView.html?idxno=2635585,"생방송(토요일20:35~40)으로 전국에 중계되며, 방송전에 경찰관 및 일반인 참관하에 추첨볼의 무게 및... 자동    전남 광양시 10    복권OO    수동    경북 김천시 11    OO로또판매점    자동    경남 거제시... "
"전남 함평군 서해안고속도로 천지휴게소 카 캐리어 전도, SUV 차량 2차 피해",https://www.delighti.co.kr/news/articleView.html?idxno=45043,카 캐리어 전도(사진=연합뉴스 제공) 전남 함평군 서해안고속도로 천지휴게소 인근에서 카캐리어 전도... 통증을 호소해 병원으로 이송됐다. 경찰이 양방향 1차로를 잠시 통제했고 현재 정확한 사고 경위를 조사 중이다.
서해안 고속도로 달리던 카캐리어 전도…2명 부상,http://www.namdonews.com/news/articleView.html?idxno=710624,"서해안 고속도로 달리던 카캐리어 전도…2명 부상 14일 낮 12시께 전남 함평군 서해안고속도로 서울 방향... 사고 수습을 위해 경찰이 양방향 1차로를 잠시 통제했지만, 통행량이 많지 않아 차량 정체는 발생하지 않았다.... "
서해안고속도로 달리던 카캐리어 중앙분리대 충격…2명 경상,http://www.jndn.com/article.php?aid=1673684137352812101,"14일 낮 12시 5분께 전남 함평군 서해안고속도로 상행선 천지휴게소 인근에서 카캐리어 차량이 중앙분리대를... 사고 수습을 위해 경찰이 양방향 1차로를 잠시 통제했지만, 통행량이 많지 않아 차량 정체는 발생하지... "
전남경찰청 &quot;베이지색 모자 김장호(82)씨 목포 실종&quot;,https://www.gukjenews.com/news/articleView.html?idxno=2635540,"경찰 로고 전남경찰청이 실종자를 찾고 있다. 14일 전남경찰청은 &quot;목포시에서 실종된 김장호씨(남, 82세)를 찾습니다&quot;고 알렸다. 해당 남성은 160cm로 베이지색 모자, 파랑 조끼, 검정 바지, 검정 구두를 착용한 것으로... "
서해안 고속도로 달리던 카캐리어 전도..2명 부상,https://n.news.naver.com/mnews/article/660/0000026160?sid=102,오늘 낮 12시쯤 전남 함평군 서해안고속도로 상행선 천지휴게소 인근에서 카캐리어 차량이 중앙분리대를... 많지 않아 별다른 혼잡은 빚어지지 않았습니다. 경찰은 운전자 등을 상대로 정확한 사고 원인을 조사하고 있습니다.
고속도로 중앙분리대 들이받은 카캐리어…2명 부상,https://n.news.naver.com/mnews/article/215/0001077384?sid=102,"이날 오후 12시 5분께 전남 함평군 서해안고속도로 상행선 천지휴게소 인근에서 카캐리어 차량이... 사고 수습을 위해 경찰이 양방향 1차로를 잠시 통제했지만, 통행량이 많지 않아 차량 정체는 발생하지 않았다. 경찰은... "
[인사] 전남도,http://www.breaknews.com/943657,(자치경찰총괄과) ▲ 전남중소기업진흥원 정정철(도립도서관)▲ 장기교육 정해상(사회재난과) ▲ 장기교육 박상욱(사회적경제과) ▲ 장기교육 황광오... 
[인사] 전남도청,https://n.news.naver.com/mnews/article/031/0000722693?sid=102,자치경찰위원회 최일범 ▲ 전국체전기획단 강성규 ▲ 토지관리과 조선아 ▲ 자치경찰위원회 김영빈... 음영규 ▲ 전남사회서비스원 고이녀 ▲ (재)남도장터 윤선주 ▲ 녹색성장위원회 김경탁 ▲ 문화재청 이성훈... 
